"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
384,"Grosse Wonderful","A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia",2006,1,5,"4.99",49,"19.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'australia':18 'cat':8 'drama':5 'epic':4 'explor':11 'gross':1 'moos':16 'must':13 'redeem':14 'wonder':2"
1,"Academy Dinosaur","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,1,6,"0.99",86,"20.99","PG","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'academi':1 'battl':15 'canadian':20 'dinosaur':2 'drama':5 'epic':4 'feminist':8 'mad':11 'must':14 'rocki':21 'scientist':12 'teacher':17"
4,"Affair Prejudice","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,1,5,"2.99",117,"26.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'affair':1 'chase':14 'documentari':5 'fanci':4 'frisbe':8 'lumberjack':11 'monkey':16 'must':13 'prejudic':2 'shark':19 'tank':20"
11,"Alamo Videotape","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,1,6,"0.99",126,"16.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'alamo':1 'bore':4 'butler':8 'cat':11 'chef':17 'convent':21 'epistl':5 'fight':14 'must':13 'mysql':20 'pastri':16 'videotap':2"
13,"Ali Forever","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies",2006,1,4,"4.99",150,"21.99","PG","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'action':5 'action-pack':4 'ali':1 'battl':16 'canadian':21 'crocodil':13 'dentist':10 'drama':7 'feminist':18 'forev':2 'must':15 'pack':6 'rocki':22"
14,"Alice Fantasia","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia",2006,1,6,"0.99",94,"23.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'administr':13 'alic':1 'databas':12 'drama':5 'emot':4 'fantasia':2 'georgia':21 'must':15 'pioneer':18 'shark':9 'soviet':20 'vanquish':16"
15,"Alien Center","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,1,5,"2.99",46,"10.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'alien':1 'battl':15 'brilliant':4 'cat':8 'center':2 'convent':21 'drama':5 'feminist':17 'mad':11 'must':14 'mysql':20 'scientist':12"
17,"Alone Trip","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,1,3,"0.99",82,"14.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'abandon':22 'alon':1 'boat':19 'charact':7 'compos':11 'dog':14 'fast':5 'fast-pac':4 'fun':23 'hous':24 'must':16 'outgun':17 'pace':6 'studi':8 'trip':2"
18,"Alter Victory","A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies",2006,1,6,"0.99",57,"27.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'agent':17 'alter':1 'canadian':20 'compos':8 'drama':5 'feminist':11 'meet':14 'must':13 'rocki':21 'secret':16 'thought':4 'victori':2"
19,"Amadeus Holy","A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon",2006,1,6,"0.99",113,"20.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'amadeus':1 'baloon':20 'battl':15 'display':5 'emot':4 'holi':2 'man':17 'must':14 'pioneer':8 'technic':11 'writer':12"
20,"Amelie Hellfighters","A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon",2006,1,4,"4.99",79,"23.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'ameli':1 'baloon':19 'bore':4 'conquer':14 'drama':5 'hellfight':2 'must':13 'squirrel':11 'student':16 'woman':8"
21,"American Circus","A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank",2006,1,3,"4.99",129,"17.99","R","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'administr':17 'american':1 'astronaut':11 'circus':2 'databas':16 'drama':5 'face':14 'girl':8 'insight':4 'must':13 'shark':20 'tank':21"
22,"Amistad Midsummer","A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California",2006,1,6,"2.99",85,"10.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'amistad':1 'california':20 'charact':5 'crocodil':12 'dentist':9 'emot':4 'meet':15 'midsumm':2 'must':14 'studi':6 'sumo':17 'wrestler':18"
24,"Analyze Hoosiers","A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert",2006,1,6,"2.99",181,"19.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'analyz':1 'chef':12 'desert':21 'display':5 'explor':8 'feminist':17 'hoosier':2 'must':14 'overcom':15 'pastri':11 'sahara':20 'thought':4"
27,"Anonymous Human","A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank",2006,1,7,"0.99",179,"12.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'administr':9,18 'amaz':4 'anonym':1 'astronaut':12 'databas':8,17 'human':2 'must':14 'outrac':15 'reflect':5 'shark':21 'tank':22"
28,"Anthem Luke","A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park",2006,1,5,"4.99",91,"16.99","PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'abandon':19 'amus':20 'anthem':1 'dog':16 'luke':2 'must':13 'outrac':14 'panorama':5 'park':21 'touch':4 'waitress':8 'woman':11"
30,"Anything Savannah","A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House",2006,1,4,"2.99",82,"27.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'abandon':20 'anyth':1 'chase':15 'chef':9 'epic':4 'feminist':17 'fun':21 'hous':22 'must':14 'pastri':8 'savannah':2 'stori':5 'woman':12"
