"film_id","title","days","amount"
1,"Academy Dinosaur","0","0.99"
1,"Academy Dinosaur","1","0.99"
1,"Academy Dinosaur","2","0.99"
1,"Academy Dinosaur","3","0.99"
1,"Academy Dinosaur","4","0.99"
1,"Academy Dinosaur","5","0.99"
1,"Academy Dinosaur","6","1.99"
1,"Academy Dinosaur","7","1.99"
1,"Academy Dinosaur","9","3.99"
1,"Academy Dinosaur",NULL,"3.99"
2,"Ace Goldfinger","1","4.99"
2,"Ace Goldfinger","3","4.99"
2,"Ace Goldfinger","6","8.99"
2,"Ace Goldfinger","8","9.99"
2,"Ace Goldfinger",NULL,"4.99"
3,"Adaptation Holes","0","2.99"
3,"Adaptation Holes","1","2.99"
3,"Adaptation Holes","2","2.99"
3,"Adaptation Holes","3","2.99"
3,"Adaptation Holes","5","2.99"
3,"Adaptation Holes","9","4.99"
4,"Affair Prejudice","0","2.99"
4,"Affair Prejudice","1","2.99"
4,"Affair Prejudice","2","2.99"
4,"Affair Prejudice","3","2.99"
4,"Affair Prejudice","4","2.99"
4,"Affair Prejudice","5","2.99"
4,"Affair Prejudice","6","3.99"
4,"Affair Prejudice","7","4.99"
4,"Affair Prejudice","7","5.99"
4,"Affair Prejudice","8","6.99"
4,"Affair Prejudice",NULL,"2.99"
5,"African Egg","1","2.99"
5,"African Egg","6","2.99"
5,"African Egg","7","3.99"
5,"African Egg","7","4.99"
5,"African Egg","8","4.99"
5,"African Egg","9","5.99"
5,"African Egg",NULL,"2.99"
6,"Agent Truman","0","2.99"
6,"Agent Truman","2","2.99"
6,"Agent Truman","3","3.99"
6,"Agent Truman","4","4.99"
6,"Agent Truman","5","4.99"
6,"Agent Truman","5","5.99"
6,"Agent Truman","6","6.99"
6,"Agent Truman","7","6.99"
6,"Agent Truman","7","7.99"
6,"Agent Truman","8","7.99"
6,"Agent Truman","8","8.99"
6,"Agent Truman","9","8.99"
7,"Airplane Sierra","0","4.99"
7,"Airplane Sierra","1","4.99"
7,"Airplane Sierra","3","4.99"
7,"Airplane Sierra","4","4.99"
7,"Airplane Sierra","5","4.99"
7,"Airplane Sierra","6","4.99"
7,"Airplane Sierra","6","5.99"
7,"Airplane Sierra","8","7.99"
7,"Airplane Sierra","9","7.99"
8,"Airport Pollock","1","4.99"
8,"Airport Pollock","2","4.99"
8,"Airport Pollock","3","4.99"
8,"Airport Pollock","5","4.99"
8,"Airport Pollock","6","5.99"
8,"Airport Pollock","7","5.99"
8,"Airport Pollock","7","6.99"
8,"Airport Pollock","8","6.99"
8,"Airport Pollock","9","7.99"
9,"Alabama Devil","1","2.99"
9,"Alabama Devil","3","2.99"
9,"Alabama Devil","4","4.99"
9,"Alabama Devil","6","5.99"
9,"Alabama Devil","7","7.99"
9,"Alabama Devil","8","8.99"
9,"Alabama Devil","9","8.99"
10,"Aladdin Calendar","1","4.99"
10,"Aladdin Calendar","2","4.99"
10,"Aladdin Calendar","3","4.99"
10,"Aladdin Calendar","4","4.99"
10,"Aladdin Calendar","5","4.99"
10,"Aladdin Calendar","6","4.99"
10,"Aladdin Calendar","6","5.99"
10,"Aladdin Calendar","8","6.99"
10,"Aladdin Calendar","8","7.99"
10,"Aladdin Calendar","9","7.99"
11,"Alamo Videotape","0","0.99"
11,"Alamo Videotape","1","0.99"
11,"Alamo Videotape","2","0.99"
11,"Alamo Videotape","3","0.99"
11,"Alamo Videotape","4","0.99"
11,"Alamo Videotape","5","0.99"
11,"Alamo Videotape","6","0.99"
11,"Alamo Videotape","6","1.99"
11,"Alamo Videotape","7","1.99"
11,"Alamo Videotape","8","3.99"
12,"Alaska Phantom","1","0.99"
12,"Alaska Phantom","2","0.99"
12,"Alaska Phantom","3","0.99"
12,"Alaska Phantom","4","0.99"
12,"Alaska Phantom","6","0.99"
12,"Alaska Phantom","6","1.99"
12,"Alaska Phantom","7","1.99"
12,"Alaska Phantom","7","2.99"
12,"Alaska Phantom","8","2.99"
12,"Alaska Phantom","8","3.99"
12,"Alaska Phantom","9","3.99"
13,"Ali Forever","2","4.99"
13,"Ali Forever","3","4.99"
13,"Ali Forever","4","5.99"
13,"Ali Forever","5","5.99"
13,"Ali Forever","7","7.99"
13,"Ali Forever","8","9.99"
13,"Ali Forever",NULL,"4.99"
15,"Alien Center","1","2.99"
15,"Alien Center","3","2.99"
15,"Alien Center","4","2.99"
15,"Alien Center","5","2.99"
15,"Alien Center","5","3.99"
15,"Alien Center","6","4.99"
15,"Alien Center","7","4.99"
15,"Alien Center","7","5.99"
15,"Alien Center","8","5.99"
15,"Alien Center","8","6.99"
15,"Alien Center","9","6.99"
16,"Alley Evolution","2","2.99"
16,"Alley Evolution","3","2.99"
16,"Alley Evolution","4","2.99"
16,"Alley Evolution","6","2.99"
16,"Alley Evolution","7","4.99"
16,"Alley Evolution","8","4.99"
16,"Alley Evolution","9","6.99"
17,"Alone Trip","0","0.99"
17,"Alone Trip","2","0.99"
17,"Alone Trip","3","1.99"
17,"Alone Trip","4","2.99"
17,"Alone Trip","5","3.99"
17,"Alone Trip","6","4.99"
17,"Alone Trip","8","6.99"
17,"Alone Trip","9","6.99"
17,"Alone Trip",NULL,"0.99"
18,"Alter Victory","1","0.99"
18,"Alter Victory","2","0.99"
18,"Alter Victory","3","0.99"
18,"Alter Victory","4","0.99"
18,"Alter Victory","5","0.99"
18,"Alter Victory","6","1.99"
18,"Alter Victory","7","1.99"
18,"Alter Victory","9","3.99"
19,"Amadeus Holy","1","0.99"
19,"Amadeus Holy","2","0.99"
19,"Amadeus Holy","3","0.99"
19,"Amadeus Holy","5","0.99"
19,"Amadeus Holy","6","1.99"
19,"Amadeus Holy","7","1.99"
19,"Amadeus Holy","8","3.99"
19,"Amadeus Holy","9","3.99"
19,"Amadeus Holy",NULL,"0.99"
20,"Amelie Hellfighters","1","4.99"
20,"Amelie Hellfighters","2","4.99"
20,"Amelie Hellfighters","4","5.99"
20,"Amelie Hellfighters","5","5.99"
20,"Amelie Hellfighters","6","6.99"
20,"Amelie Hellfighters","7","8.99"
20,"Amelie Hellfighters","8","9.99"
20,"Amelie Hellfighters","9","9.99"
21,"American Circus","0","4.99"
21,"American Circus","1","4.99"
21,"American Circus","2","4.99"
21,"American Circus","3","4.99"
21,"American Circus","4","5.99"
21,"American Circus","5","6.99"
21,"American Circus","6","8.99"
21,"American Circus","7","8.99"
21,"American Circus","7","9.99"
21,"American Circus","8","9.99"
21,"American Circus","8","10.99"
21,"American Circus","9","10.99"
21,"American Circus",NULL,"4.99"
22,"Amistad Midsummer","1","2.99"
22,"Amistad Midsummer","2","2.99"
22,"Amistad Midsummer","3","2.99"
22,"Amistad Midsummer","4","2.99"
22,"Amistad Midsummer","5","2.99"
22,"Amistad Midsummer","6","2.99"
22,"Amistad Midsummer","7","3.99"
22,"Amistad Midsummer","7","4.99"
22,"Amistad Midsummer","8","5.99"
22,"Amistad Midsummer",NULL,"2.99"
23,"Anaconda Confessions","1","0.99"
23,"Anaconda Confessions","2","0.99"
23,"Anaconda Confessions","3","0.99"
23,"Anaconda Confessions","3","1.99"
23,"Anaconda Confessions","4","1.99"
23,"Anaconda Confessions","5","2.99"
23,"Anaconda Confessions","5","3.99"
23,"Anaconda Confessions","6","3.99"
23,"Anaconda Confessions","7","5.99"
23,"Anaconda Confessions","8","5.99"
23,"Anaconda Confessions","8","6.99"
24,"Analyze Hoosiers","0","2.99"
24,"Analyze Hoosiers","1","2.99"
24,"Analyze Hoosiers","2","2.99"
24,"Analyze Hoosiers","4","2.99"
24,"Analyze Hoosiers","5","2.99"
24,"Analyze Hoosiers","6","3.99"
24,"Analyze Hoosiers","7","3.99"
24,"Analyze Hoosiers","7","4.99"
24,"Analyze Hoosiers","8","4.99"
24,"Analyze Hoosiers","9","5.99"
